nid,vid,type,language,title,uid,status,created,changed,comment,promote,sticky,tnid,translate,body
138,138,page,und,Investment Services,1,1,1311361040,1432488780,0,0,0,0,0,"<p>We've all heard the saying, ""You don't know where you're going unless you know where you've been.""ù We believe this not only applies to our investment approach, but also how we manage and grow our firm.</p>
<p>The history of Ferguson Wellman is important to our <a href=""http://fergusonwellman.com/~ferguson/about-us/people"">employees</a> as it provides clarity on important issues for us. From continually improving our client service to making strategic decisions on investment strategies we create or employ -- our approach is linked to our past.</p>
<p>In 1975, our founders Joe Ferguson and Norb Wellman set forth to create a company that was going against the tide of our industry. In a time of mergers, acquisitions and consolidation, they believed in taking a hands-on approach to investing and portfolio management. Advances in technology in the 1970s were starting to make firms bigger and faster. Although this created opportunties and efficiencies for companies, Joe and Norb were mindful of how these developments impacted client relationships. They believed in growing Ferguson Wellman methodically and intentionally. Being too aggressive could result in losing sight of the service and customization that clients valued.</p>
<p>Today, our founders' vision is carried forth by our principals, next generation of leadership and other employees serving our clients through their own area of expertise. Our mission, <em>Investment Excellence; Lifelong Relationships, </em>guides our work for our clients.</p>
<p  style=""""><img alt="""" src=""http://fergusonwellman.com/sites/default/files/node_gallery/Timeline.png"" style=""width: 500px; height: 375px;"" /></p>
"
139,139,page,und,Communication and Education,1,1,1311361341,1433275540,0,0,0,0,0,"<p>Over the years, we have shared our investment expertise with clients as they identify and achieve their goals. In working closely with clients, we have established an institutional understanding of the challenges and needs they face over the years. This process has enabled us to establish some best practices in working with <a href=""[site:url]individuals-and-families"">individuals, families</a> and <a href=""[site:url]institutions"">institutions</a>. We are stronger today because we are meeting our clients' current needs ""Ó and anticipating what they may seek from us tomorrow.</p>
<p>Our Investment Services are a reflection of those client experiences, resulting in analytical and planning resources that create choices for clients based on various scenarios. Working side-by-side with clients, portfolio managers pair this analysis with their expertise on a wide range of investment and financial matters. We also partner with various organizations and professionals to get the answers individuals or trustees need to make the most informed decisions.</p>
<p>If you are an individual or family client, please visit our <a href=""/individuals-and-families/wealth-management"">wealth management section</a>. Large institutions, businesses and nonprofits can refer to our <a href=""/institutions/institutional-management"">institutional management page</a> for more details on our Investment Services.</p>
"
140,140,page,und,Institutional Management,1,1,1311361584,1433276146,0,0,0,0,0,"<p>Similar to how we tailor investment portfolios, we also customize the ways we share important information with our clients. We deliver information about client portfolios, changes from our Investment Policy Committee and timely perspectives on the economy and capital markets in the manner most convenient for each client.</p>
<p>We also believe that education is a powerful tool in building strong relationships. Based on our clients' understanding of investments and interests, we provide resources that generate more questions and conversations about their investments and other financial matters.</p>
<p>From <a href=""http://blog.fergusonwellman.com"">our blog </a>to our quarterly reporting and periodic<a href=""[site:url]communication/investment_updates""><em>Investment Strategy Update</em> </a>emails to our quarterly <a href=""[site:url]communication/market-letters""><em>Market Letter</em></a> publication and Outlook Strategy videos, we believe that the more informed our clients are, the more confident they are in their decision making and our investments.</p>
<p>If you are an individual or family client, please visit our <a href=""/individuals-and-families/wealth-management"">wealth management section</a>. Large institutions, businesses and nonprofits can refer to our <a href=""/institutions/institutional-management"">institutional management page</a> for more details on our <em>Communication and Education</em>.</p>
"
141,141,page,und,Investment Strategies,1,1,1311366245,1433273969,0,0,0,0,0,"<p>Ferguson Wellman offers <a href=""[site:url]expertise/investment-strategies"">investment strategies</a> for the specific needs that an institution requires in their portfolio.</p>
<p>For more than 39 years, we have served a wide range of institutions that include:</p>
<ul>
	<li>
		<a href=""[site:url]institutions/taft-hartley-trusts"">Taft-Hartley trusts</a></li>
	<li>
		<a href=""[site:url]institutions/corporations"">Corporate pension plans</a></li>
	<li>
		<a href=""[site:url]institutions/taft-hartley-trusts"">Health and welfare plans</a></li>
	<li>
		<a href=""[site:url]institutions/nonprofits"">Foundations and endowments</a>(nonprofits)</li>
</ul>
<p>Working with a <a href=""[site:url]consultants-and-professionals/consultants"">consultant </a>or a board of trustees, we are tasked with managing a specific investment strategy or a balanced portfolio.<br />
	In addition to developing or adhering to an institution's investment policy guidelines, clients seek our expertise in:</p>
<ul>
	<li>
		Providing comprehensive financial analysis</li>
	<li>
		Determining and regularly reviewing asset allocation strategy</li>
	<li>
		Developing short- and long-term plans and cash flow/operating fund contingencies</li>
	<li>
		Educating boards and trustees in investment issues</li>
	<li>
		Planning distribution of grants</li>
	<li>
		Connecting nonprofits with community and philanthropic resources</li>
	<li>
		Providing institutional knowledge and guidance for new trustees</li>
	<li>
		Analyzing past market activity and forecasting future trends</li>
	<li>
		Committing to shared values in relation to community involvement</li>
</ul>
<p>Our expertise and experience stems from more than three decades of managing assets for institutions and we have had no turnover on our investment team for 26 years. We stay apprised of the changing needs of institutions through leadership roles on more than 70 boards and investment committees our professionals serve on annually. In addition, five professionals comprise our investment services committee, which meets monthly to review and update best practices for serving our institutional clients.<br />
	<br />
	If you are in the early stages of developing an investment search process, we can provide you with some sample RFPs to help you design a proposal process to best meet your needs.</p>
<p>If you are considering a change in you investment manager, we can provide information to your CFO, trustees or consultant about our investment expertise, process and performance. Understanding our approach to investment management may help you find clarity about any changes you may be considering.</p>
<p>Please visit our <a href=""[site:url]expertise/investment-strategies"">Investment Strategies</a> page for more information on specific investment vehicles we've created and manage.</p>
"
142,142,page,und,Professional Partners,1,1,1311366864,1370304209,0,0,0,0,0,"<p><a class=""colorbox-load"" href=""[site:url]investment-strategies-for-clients"" ><img src=""[site:url]sites/default/files/assets/Investmentstrategiesgraphic_small.png"" style=""float: right"" /></a> Ferguson Wellman's comprehensive suite of investment strategies is exclusively designed for our <a href=""[site:url]individuals-and-families"">individual</a> and <a href=""[site:url]institutions"">institutional</a> clients. The strategy we craft for each asset class is mindful of how much risk we are willing to assume in exchange for an anticipated return. Each <a href=""[site:url]about-us/investment-team"">portfolio manager</a> shoulders the responsibility for appropriately balancing the expected risk, reward and correlation of each asset employed in accordance with the circumstances of each client. Whether the client seeks a <a href=""[site:url]expertise/investment-strategies/balanced"">balanced</a>, <a href=""[site:url]expertise/investment-strategies/equities"">equity-focused</a>, or <a href=""[site:url]expertise/investment-strategies/fixed-income"">fixed income</a> portfolio, Ferguson Wellman tailors the core strategies for every client. For more in-depth information about our investment strategies click on the links below.</p>
<h4 >
	<a href=""[site:url]expertise/investment-strategies/balanced"">Balanced</a></h4>
<h4 >
	<a href=""[site:url]expertise/investment-strategies/equities"">Equities</a></h4>
<h4 >
	<a href=""[site:url]expertise/investment-strategies/fixed-income"">Fixed Income </a></h4>
<h4 >
	<a href=""[site:url]expertise/investment-strategies/uncorrelated-assets"">Uncorrelated Assets</a></h4>
"
143,143,page,und,Assets Under Management,1,1,1311367048,1433273692,0,0,0,0,0,"<p>Ferguson Wellman's approach to investment management is very specialized in our industry. Although our core business is investment management using individual securities to build customized portfolios &ndash; our client service capabilities have grown over the years. Other areas in which clients utilize our expertise are through our <a href=""[site:url]expertise/investment-services"">Investment Services</a> and <a href=""[site:url]expertise/communication-and-education"">Communication and Education</a>.</p>
<p>Beyond these services, clients seek our advice on other issues, such as taxes, estate planning, private banking, real estate investments, capital campaigns, gifting and organizational issues facing institutions, family business and foundations.</p>
<p>Often we refer clients to trusted professionals we have worked with over the years. Together we work seamlessly to provide our <a href=""[site:url]individuals-and-families"">individual </a>and<a href=""[site:url]institutions""> institutional </a>clients with the expertise and experience that can help in their planning and decision making process.</p>
<p>Please refer to our <a href=""[site:url]consultants-and-professionals"">Consultants and Professionals</a> section for more information about working together to serve your clients.</p>
"
144,144,page,und,Assets By Client Type,1,1,1311367456,1433273713,0,0,0,0,0,"<p>Since <a href=""http://fergusonwellman.com/~ferguson/about-us/history"">1975</a>, our assets under management have grown consistently due to new clients, transfer of assets and market growth. In the past decade, the equity markets have worked against growing assets; however, we currently are experiencing a trajectory of growth for our firm and our clients since the market lows of 2008.</p>
<p  style=""""><img alt="""" src=""/sites/default/files/assets/Assets_0.png"" style=""height: 418px; width: auto;"" /></p>
<p><em>Updated annually -- as of 12/31/14</em></p>
"
145,145,page,und,Professional Referrals,1,1,1311368088,1433275878,0,0,0,0,0,"<p><img alt="""" src=""/sites/default/files/assets/Assets%20by%20Client%20Type_1.png"" style=""width: 368px; height: 265px; float: right;"" />Diversification in the types of clients we serve was an intentional strategy for accomplishing three goals. First, it gives us the opportunity to employ <a href=""http://fergusonwellman.com/~ferguson/expertise/investment-strategies"">investment strategies</a> and <a href=""http://fergusonwellman.com/~ferguson/expertise/investment-services"">services</a> needed by one client type to another. For example, our expertise in serving large <a href=""http://fergusonwellman.com/~ferguson/institutions"">institutions</a> has given individuals and families confidence in our capabilities. Conversely, many investment communication resources and education programs we designed for <a href=""http://fergusonwellman.com/~ferguson/individuals-and-families"">individuals</a> have become valuable to institutions- particularly to foundations and endowments. Second, through diversification, our clients have benefitted from the stability of having a range of revenue sources for the firm.</p>
<p>Lastly, our various client types have supported our ""word-of-mouth""ù strategy for growth. Based on our performance and client service, trustees have referred individuals to us. Also, we have been introduced to many institutions through our individual clients. We believe the best referrals we can receive are from those who have worked directly with us- personally or professionally.</p>
<p><em>Updated annually -- as of 12/31/14</em></p>
<p></p>
<p></p>
"
146,146,page,und,Corporations,1,1,1311368735,1433276243,0,0,0,0,0,"<p>Serving family foundations is founded on Ferguson Wellman's 39 years of experience serving institutions as well as individuals and multi-generational families. Working in partnership with trustees and administrators, we:</p>
<ul>
	<li>
		Establish investment policy guidelines reflecting their goals and objectives</li>
	<li>
		Create and manage investment portfolios designed to foster growth and mitigate risk</li>
	<li>
		Help develop strategies for distribution</li>
	<li>
		Provide investment education programs and resources</li>
	<li>
		Share timely <a href=""[site:url]communication"">communication</a> about the economy and capital markets through email, publications and videos</li>
	<li>
		Can offer best practices about nonprofit management through our:
		<ul>
			<li>
				Leadership experience in serving on more than 70 boards annually</li>
			<li>
				Professional partner organizations we co-host educational events with for clients</li>
		</ul>
	</li>
</ul>
<p>In addition to providing web or printed quarterly reports that provide an aggregated, comprehensive presentation of the foundation's assets, our portfolio managers and analysts meet with trustees and administrators to discuss the portfolio and lead discussions on any investment topics that are needed.</p>
<p>Ferguson Wellman also assists individuals and families who have not yet established a foundation. Through our experience and relationships with expert organizations, we navigate clients through the decision-making process and provide analysis on the most relevant and effective charitable vehicle options.</p>
"
147,147,page,und,Nonprofits,1,1,1311369320,1433276214,0,0,0,0,0,"<table cellpadding=""5"" cellspacing=""0"">
	<tbody>
		<tr>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2014-annual-report""><img alt=""2014 Annual Report"" src=""/sites/default/files/assets/fw_2015_cover.jpg"" style=""width: 120px; height: 160px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2014-annual-report"">Annual Report 2014</a></td>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2013-annual-report""><img alt=""2013 Annual Report"" src=""/sites/default/files/assets/fw_2013_cover.jpg"" style=""width: 120px; height: 160px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2013-annual-report"">Annual Report 2013</a></td>
		</tr>
		<tr>
			<td  style=""width: 200px;"">
				<p><a href=""http://fergusonwellman.com/2012-annual-report#overlay-context=communication/annual-reports""><img alt="""" src=""/sites/default/files/assets/Untitled%20Extract%20Pages_0.jpg"" style=""width: 120px; height: 165px;"" /><br />
					Annual Report 2012</a></p>
			</td>
			<td  style=""width: 200px;"">
				<a href=""http://fergusonwellman.com/2011-annual-report""><img alt="""" src=""/sites/default/files/assets/FW%202011%20AR%20Final.png"" style=""width: 153px; height: 124px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2011-annual-report"">Annual Report 2011</a></td>
		</tr>
		<tr>
			<td >
				<img alt=""Annual Report 2010"" src=""/sites/default/files/assets/2010ARforweb.jpg"" style=""width: 120px; height: 160px;"" /><br />
				<a href=""http://fergusonwellman.com/2010ar"">Annual Report 2010</a></td>
			<td >
				<a href=""http://fergusonwellman.com/2009ar""><img alt=""Annual Report 2009"" src=""/sites/default/files/assets/2009FinalSizeAnnualReportCover.jpg"" style=""width: 160px; height: 123px;"" /></a><br />
				<a href=""http://fergusonwellman.com/2009ar"">Annual Report 2009</a></td>
		</tr>
	</tbody>
</table>
<p>The views expressed here represent the opinions of Ferguson Wellman Capital Management and are not intended as an investment recommendation or forecast.</p>
"
148,148,page,und,Taft-Hartley Trusts,1,1,1311369715,1433276285,0,0,0,0,0,"<p>We've all heard the saying, ""You don't know where you're going unless you know where you've been.""ù We believe this not only applies to our investment approach, but also how we manage and grow our firm.</p>
<p>The history of Ferguson Wellman is important to our <a href=""http://fergusonwellman.com/~ferguson/about-us/people"">employees</a> as it provides clarity on important issues for us. From continually improving our client service to making strategic decisions on investment strategies we create or employ -- our approach is linked to our past.</p>
<p>In 1975, our founders Joe Ferguson and Norb Wellman set forth to create a company that was going against the tide of our industry. In a time of mergers, acquisitions and consolidation, they believed in taking a hands-on approach to investing and portfolio management. Advances in technology in the 1970s were starting to make firms bigger and faster. Although this created opportunties and efficiencies for companies, Joe and Norb were mindful of how these developments impacted client relationships. They believed in growing Ferguson Wellman methodically and intentionally. Being too aggressive could result in losing sight of the service and customization that clients valued.</p>
<p>Today, our founders' vision is carried forth by our principals, next generation of leadership and other employees serving our clients through their own area of expertise. Our mission, <em>Investment Excellence; Lifelong Relationships, </em>guides our work for our clients.</p>
<p  style=""""><img alt="""" src=""http://fergusonwellman.com/sites/default/files/node_gallery/Timeline.png"" style=""width: 500px; height: 375px;"" /></p>
"
149,149,page,und,Consultants,1,1,1311370139,1433276549,0,0,0,0,0,"<p>Over the years, we have shared our investment expertise with clients as they identify and achieve their goals. In working closely with clients, we have established an institutional understanding of the challenges and needs they face over the years. This process has enabled us to establish some best practices in working with <a href=""[site:url]individuals-and-families"">individuals, families</a> and <a href=""[site:url]institutions"">institutions</a>. We are stronger today because we are meeting our clients' current needs ""Ó and anticipating what they may seek from us tomorrow.</p>
<p>Our Investment Services are a reflection of those client experiences, resulting in analytical and planning resources that create choices for clients based on various scenarios. Working side-by-side with clients, portfolio managers pair this analysis with their expertise on a wide range of investment and financial matters. We also partner with various organizations and professionals to get the answers individuals or trustees need to make the most informed decisions.</p>
<p>If you are an individual or family client, please visit our <a href=""/individuals-and-families/wealth-management"">wealth management section</a>. Large institutions, businesses and nonprofits can refer to our <a href=""/institutions/institutional-management"">institutional management page</a> for more details on our Investment Services.</p>
"
150,150,page,und,Accountants,1,1,1311606145,1433276658,0,0,0,0,0,"<p>Similar to how we tailor investment portfolios, we also customize the ways we share important information with our clients. We deliver information about client portfolios, changes from our Investment Policy Committee and timely perspectives on the economy and capital markets in the manner most convenient for each client.</p>
<p>We also believe that education is a powerful tool in building strong relationships. Based on our clients' understanding of investments and interests, we provide resources that generate more questions and conversations about their investments and other financial matters.</p>
<p>From <a href=""http://blog.fergusonwellman.com"">our blog </a>to our quarterly reporting and periodic<a href=""[site:url]communication/investment_updates""><em>Investment Strategy Update</em> </a>emails to our quarterly <a href=""[site:url]communication/market-letters""><em>Market Letter</em></a> publication and Outlook Strategy videos, we believe that the more informed our clients are, the more confident they are in their decision making and our investments.</p>
<p>If you are an individual or family client, please visit our <a href=""/individuals-and-families/wealth-management"">wealth management section</a>. Large institutions, businesses and nonprofits can refer to our <a href=""/institutions/institutional-management"">institutional management page</a> for more details on our <em>Communication and Education</em>.</p>
"
