nid,vid,type,language,title,uid,status,created,changed,comment,promote,sticky,tnid,translate,pubdate,body
45,45,communication,und,Nathan Ayotte Hired as Vice President and Portfolio Manager,1,1,1307115419,1307115419,0,1,0,0,0,2008-07-07T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Ayotte_FINAL_7_7_08.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
46,46,communication,und,Shawn Narancich Hired as Vice President of Research,1,1,1307115492,1307115492,0,1,0,0,0,2008-03-31T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Narancich_FINAL_3_31_08.pdf"" target=""_blank"">Downaload press release</a> (pdf)</p>
"
47,47,communication,und,"Ferguson Wellman Receives an ""Oregon's Most Admired Companies"" Award",1,1,1307115605,1307115605,0,1,0,0,0,2006-12-07T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/PBJ_Award_FINAL_12_7_06.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
48,48,communication,und,Jason Norris Promoted to Senior Vice President,1,1,1307115791,1307115791,0,1,0,0,0,2006-08-02T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Norris_FINAL_8_2_06.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
49,49,communication,und,James A. Coats Hired as Vice President of Business Development,1,1,1307115870,1312932974,0,1,0,0,0,2006-04-20T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Coats_FINAL_4_20_06.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
50,50,communication,und,James H. Rudd Appointed as Chairman of Local Board of Federal Reserve Bank,1,1,1307116426,1307116426,0,1,0,0,0,2006-03-22T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Rudd_FINAL_3_22_06.pdf"" target=""_blank"">Downaload press release</a> (pdf)</p>
"
51,51,communication,und,Ferguson Wellman Hires Miller as Vice President of Marketing,1,1,1307116717,1307116717,0,1,0,0,0,2006-01-24T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Miller_FINAL_1_24_06.pdf"" target=""_blank"">Downlaod press release</a> (pdf)</p>
"
52,52,communication,und,OICF Elects New Board Chair and Trustees,1,1,1307116912,1307116912,0,1,0,0,0,2005-10-07T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Rainer_OICF_10_7_05.pdf"" target=""_blank"">Downalod press release</a> (pdf)</p>
"
53,53,communication,und,Ferguson Wellman Hires Lankton as Senior Vice President and Portfolio Manager,1,1,1307116984,1307116984,0,1,0,0,0,2005-05-25T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/releases/Lankton_FINAL_5_25_05.pdf"" target=""_blank"">Download press release</a> (pdf)</p>
"
54,54,communication,und,Bernanke Must Raise Benchmark 2 Points in Latest Rajan Warning,1,1,1307118898,1307118898,0,1,0,0,0,2010-08-23T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Bernanke%20Must%20Raise%20Benchmark%202%20Points%20in%20Latest%20Rajan%20Warning_%208_23_10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
55,55,communication,und,Strippers Declare Inflation Dead in Zero-Coupon Bonds,1,1,1307119496,1307119496,0,1,0,0,0,2010-05-24T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Fovinci_Stripper_Declare_Inflation_5-24-10.pdf"" target=""_blank"">Downalod print document</a> (pdf)</p>
"
56,56,communication,und,Treasury 30-Year Yields Reach One-Week High Before Bond Auction,1,1,1307119593,1307119593,0,1,0,0,0,2010-05-13T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Fovinci_Treasury_Reach_High_5-13-10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
57,57,communication,und,Wal-Mart Holiday Sales Dip,1,1,1307119688,1376597846,0,1,0,0,0,2010-02-18T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Narancich_WalMart_2_18_10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
58,58,communication,und,Ferguson Wellman's Fovinci Buys Cisco Bonds,1,1,1307119772,1376597929,0,1,0,0,0,2010-02-05T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Fovinci_Cisco_2_5_10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
59,59,communication,und,Oregon Companies' Shares Trail Regional Counterparts,1,1,1307119872,1376597969,0,1,0,0,0,2010-01-29T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Holwerda_Oregon_Companies%27_Shares_1_29_10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
60,60,communication,und,When Their Clients Talk ...,1,1,1307119960,1376598074,0,1,0,0,0,2010-01-29T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Carkin_When_their_clients_talk_1_10.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
61,61,communication,und,Outstanding Philanthropic Corporation,1,1,1307120040,1307120040,0,1,0,0,0,2009-12-31T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Kralj_Portland_Tribune.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
62,62,communication,und,Lori Flexer and the Circle of Giving,1,1,1307120144,1376598261,0,1,0,0,0,2009-12-17T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Flexer_Winged_M.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
63,63,communication,und,"Amid Client Fears, a Shift from Defense to Conservative Offense",1,1,1307121088,1376598234,0,1,0,0,0,2009-12-06T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Holwerda_Amid_Client_Fears_12_6_09.pdf"" target=""_blank"">Downlaod print document</a> (pdf)</p>
"
64,64,communication,und,U.S. Two-Year Yield Near Highest This Month as Asia,1,1,1307121179,1307121179,0,1,0,0,0,2009-10-20T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Fovinci_U%20S%20_Bonds_Yield_10_20_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
65,65,communication,und,Health Insurer Investors Strap in for Bumpy Ride,1,1,1307121336,1376598312,0,1,0,0,0,2009-10-19T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Dordevic_Health_insurer_investors_strap_10_19_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
66,66,communication,und,Financial Questions? We've Got Answers,1,1,1307121425,1376598358,0,1,0,0,0,2009-10-18T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Hosfield_Financial_Questions_10_18_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
67,67,communication,und,Two-year Interest-Rate Spreads Narrow to a Five-Year Low,1,1,1307121519,1376598411,0,1,0,0,0,2009-09-11T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Fovinci_Two_Year_Interest_9_11_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
68,68,communication,und,Investing in Value Stocks,1,1,1307121602,1376598438,0,1,0,0,0,2009-09-07T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Cole_Norris_WSJT_9_7_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
69,69,communication,und,The Shape of Things to Come,1,1,1307121717,1376598467,0,1,0,0,0,2009-08-28T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/ShapeofthingstocomePBJ.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
70,70,communication,und,The Case for Asset Allocation,1,1,1307121821,1376598500,0,1,0,0,0,2009-07-23T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Caseforassetallocation.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
71,71,communication,und,"CIT Talks Fall Apart, Bankruptcy Looms",1,1,1307121896,1376598538,0,1,0,0,0,2009-07-16T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Mike%20Knebel%20Cit%20GROUP.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
72,72,communication,und,Understanding the Three Types of Investment Pros,1,1,1307121978,1376598573,0,1,0,0,0,2009-05-08T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Rudd_Investment_Pros_5_8_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
73,73,communication,und,U.S. Bank Stress Test Results Delayed as Conclusions Debated,1,1,1307122063,1376598618,0,1,0,0,0,2009-05-01T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Cole_Stress_Tests_5_1_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
74,74,communication,und,"Goldman Sachs Bond, Stock Sales Signal No Stress Test",1,1,1307122143,1376598657,0,1,0,0,0,2009-04-30T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Cole_Goldman_Sachs_4_30_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
75,75,communication,und,Financial Statements: Do You Read Them?,1,1,1307122229,1307122229,0,1,0,0,0,2009-03-27T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/Cole_Financial_Statements_OPB_3_27_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
76,76,communication,und,CitigroupŠ—…s CEO Pandit Defends Group Strength: Report,1,1,1307122308,1376598701,0,1,0,0,0,2009-03-10T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Cole_Citigroup_Pandit_3_10_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
77,77,communication,und,Treasuries Tumble Amid Concern Government to Boost Borrowing,1,1,1307122406,1376598744,0,1,0,0,0,2009-02-03T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Knebel_Treasuries_Tumble_%20Amid_%20Concern_2_3_09.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
78,78,communication,und,Money Managers in Portland and Beyond Shift Strategy,1,1,1307122488,1376598787,0,1,0,0,0,2008-10-09T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Hosfield_Money_Managers_Shift_Strategy_10_9_08.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
79,79,communication,und,The Investment Adviser: George W. Hosfield,1,1,1307122569,1376599024,0,1,0,0,0,2008-09-21T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Hosfield_Opinion_9_21_08.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
80,80,communication,und,Wall Street Problems Will Hit Portland,1,1,1307122643,1376599079,0,1,0,0,0,2008-09-15T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Hosfield_Wall_Street_Problems_9_15_08.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
81,81,communication,und,Strategy for the Slowdown Is to Stick with the Basics,1,1,1307122766,1376599131,0,1,0,0,0,2008-04-06T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/Hosfield_Strategy_For_Slowdown_4_6_08.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
82,82,communication,und,Ferguson Wellman Receives Corporate Philanthropy Award from the Portland Business Journal,1,1,1307122860,1376599186,0,1,0,0,0,2007-10-08T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/PBJ_Corp_Philanthropy_Award_FINAL_10_8_07.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
83,83,communication,und,"The Higher-Ed Dividend: If Public Universities Were a Stock, Would You Buy?",1,1,1307122983,1376599292,0,1,0,0,0,2007-04-02T00:00:00,"<p><a href=""[site:url]sites/default/files/documents/print/OBM_FirstPerson_0407.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
84,84,communication,und,Predictions 2007,1,1,1307123065,1307123065,0,1,0,0,0,2007-03-01T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/BNW_March_2007_Pg_C1_30_31.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
85,85,communication,und,Portland Business Journal Reports on 30 Years of Ferguson Wellman,1,1,1307123142,1307123142,0,1,0,0,0,2005-12-02T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/print/PBJFW30yrs.pdf"" target=""_blank"">Download print document</a> (pdf)</p>
"
86,86,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307123425,1307123425,0,1,0,0,0,2010-05-04T00:00:00,"<p>
	Ralph Cole, CFA, discusses the closing of Hollywood Video</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/QnPLP27W_s0"" frameborder=""0"" allowfullscreen></iframe>
"
87,87,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307123535,1307123535,0,1,0,0,0,2009-08-28T00:00:00,"<p>
	Jason Norris, CFA discusses economic recovery.</p>
<iframe width=""560"" height=""349"" src=""http://www.youtube.com/embed/f9iOSX1m-s0"" frameborder=""0"" allowfullscreen></iframe>
"
88,88,communication,und,KOIN Local 6,1,1,1307123830,1307123830,0,1,0,0,0,2009-06-29T00:00:00,"<p>Lori Flexer comments on the sentencing of Bernie Madoff</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/w6fmE49PTJ4"" frameborder=""0"" allowfullscreen></iframe>"
89,89,communication,und,"NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307123926,1307123926,0,1,0,0,0,2009-04-27T00:00:00,"<p>
	George Hosfield, CFA, discusses the impact of the U.S. presidential election on the stock market.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""349"" src=""http://www.youtube.com/embed/GGCNvQUD_90"" width=""425""></iframe></p>
"
90,90,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307124015,1307124015,0,1,0,0,0,2009-03-31T00:00:00,"<p>
	Mark Kralj discusses the resignation of General Motors&#39; CEO.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/P1G42kUrpCA"" frameborder=""0"" allowfullscreen></iframe>
"
91,91,communication,und,Northwest NewsChannel 8 with Brenda Braxton,1,1,1307125315,1307125315,0,1,0,0,0,2008-10-06T00:00:00,"<p>
	Shawn Narancich, CFA, discusses stock market moves in the wake of the financial crisis.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/vpek9l07tnc"" frameborder=""0"" allowfullscreen></iframe>
"
92,92,communication,und,KATU-Channel 2 with Thanh Tan,1,1,1307125414,1307125414,0,1,0,0,0,2008-09-17T00:00:00,"<p>
	Marc Fovinci, CFA, discusses a potential WaMu buyout.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/GOtZ6laD9n4"" frameborder=""0"" allowfullscreen></iframe>
"
93,93,communication,und,Northwest NewsChannel 8 with Pat Dooris,1,1,1307125514,1307125514,0,1,0,0,0,2008-09-29T00:00:00,"<p>
	Steve Holwerda, CFA, discusses the financial bailout plan.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/F6sTSUtofmI"" frameborder=""0"" allowfullscreen></iframe>
"
94,94,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307125583,1307125583,0,1,0,0,0,2008-09-18T00:00:00,"<p>
	George Hosfield, CFA, discusses WaMu&rsquo;s recent developments.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/j10JMt473aI"" frameborder=""0"" allowfullscreen></iframe>"
95,95,communication,und,Northwest NewsChannel 8 with Brenda Braxton,1,1,1307125666,1307125666,0,1,0,0,0,2008-09-29T00:00:00,"<p>
	Shawn Narancich, CFA, discusses the failure of Congress to pass the bailout measure.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""349"" src=""http://www.youtube.com/embed/ffVK9pcEWwM"" width=""425""></iframe></p>
"
96,96,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307125747,1307125747,0,1,0,0,0,2008-09-15T00:00:00,"<p>
	Marc Fovinci, CFA, discusses the bankruptcy filing of Lehman Brothers.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/LfjG2GbPXLY"" frameborder=""0"" allowfullscreen></iframe>
"
97,97,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307125819,1307125819,0,1,0,0,0,2008-09-08T00:00:00,"<p>
	Deidra Krys-Rusoff discusses the federal takeover of Fannie Mae and Freddie Mac.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/DTIozdK3cE4"" frameborder=""0"" allowfullscreen></iframe>
"
98,98,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307125946,1307125946,0,1,0,0,0,2008-07-15T00:00:00,"<p>
	Ralph Cole, CFA, discusses the recent crisis facing the banking industry.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/LuVcgD0kPQc"" frameborder=""0"" allowfullscreen></iframe>
"
99,99,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126025,1307126025,0,1,0,0,0,2008-06-30T00:00:00,"<p>
	Mark Kralj discusses the rising price of oil.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/1CCAIHhCGPE"" frameborder=""0"" allowfullscreen></iframe>
"
100,100,communication,und,Bloomberg Open Exchange with Rhonda Schaffler,1,1,1307126133,1307126133,0,1,0,0,0,2008-06-17T00:00:00,"<p>
	Ralph Cole, CFA, discusses Goldman Sachs earnings.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/4vCjmCJQBYY"" frameborder=""0"" allowfullscreen></iframe>
"
101,101,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126284,1307126284,0,1,0,0,0,2008-04-07T00:00:00,"<p>
	Lori Flexer, CFA, discusses recent consumer data and retail sales reports.</p>
<p>
	<iframe allowfullscreen="""" frameborder=""0"" height=""349"" src=""http://www.youtube.com/embed/boqAxO4dT1Q"" width=""425""></iframe></p>
"
102,102,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126368,1307126368,0,1,0,0,0,2008-03-17T00:00:00,"<p>
	Mike Knebel, CFA, discusses the recent news about Bear Stearns.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/qlwmg6ojEpc"" frameborder=""0"" allowfullscreen></iframe>
"
103,103,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126443,1307126443,0,1,0,0,0,2008-03-14T00:00:00,"<p>
	George Hosfield, CFA, discusses the rising price of gold.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/zsmBYVQqgmQ"" frameborder=""0"" allowfullscreen></iframe>
"
104,104,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126522,1307126522,0,1,0,0,0,2008-02-14T00:00:00,"<p>
	Ralph Cole, CFA, discusses the economic stimulus plan signed into law.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/CKSc0iq_eqM"" frameborder=""0"" allowfullscreen></iframe>
"
105,105,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126608,1307126608,0,1,0,0,0,2008-02-06T00:00:00,"<p>
	George Hosfield, CFA, discusses the possibility of a recession.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/SPgJkMZpKTI"" frameborder=""0"" allowfullscreen></iframe>"
106,106,communication,und,"Northwest NewsChannel 8 ""Your Money Your Business"" with Joe Smith",1,1,1307126710,1307126710,0,1,0,0,0,2008-01-03T00:00:00,"<p>
	Jason Norris, CFA, gives his perspective on recent market volatility and the economic outlook for 2008.</p>
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/vM2u1AT9J6I"" frameborder=""0"" allowfullscreen></iframe>
"
107,107,communication,und,RADIO - NPR's All Things Considered,1,1,1307126838,1307126838,0,1,0,0,0,2009-07-16T00:00:00,"<p>
	Mike Knebel, CFA, discusses the possibility of a Cit Group bankruptcy.</p>
<p>
	<a href=""http://www.npr.org/templates/story/story.php?storyId=106703065"" target=""_blank"">Read/Listen to story</a></p>
"
108,108,communication,und,OPB Morning Edition with Kristian Foden-Vencil,1,1,1307126916,1307126916,0,1,0,0,0,2009-03-27T00:00:00,"<p>
	Ralph Cole, CFA, shares how to read company financial statements.</p>
<p>
	<a href=""http://news.opb.org/article/financial-statements-do-you-read-them/"" target=""_blank"">Read/Listen to story</a></p>
"
109,109,communication,und,OPB Morning Edition with Kristian Foden-Vencil,1,1,1307126995,1307126995,0,1,0,0,0,2009-03-23T00:00:00,"<p>
	Marc F. Fovinci, CFA, discusses the Oregonian newspaper&rsquo;s cost cutting measures.</p>
<p>
	<a href=""http://news.opb.org/article/oregonian-newspaper-takes-cost-cutting-measures/"" target=""_blank"">Read/Listen to story</a></p>
"
110,110,communication,und,"KXL's ""Home and Wealth Show""",1,1,1307127104,1307127104,0,1,0,0,0,2009-02-08T00:00:00,"<p>
	George Hosfield, CFA, discusses the economy and capital markets decline with Brian Bushlach.</p>
<p>
	<a href=""http://mms://media.advisorwebcenter.com/schwab/sch5165/KXLs_Home_and_Wealth_Show_with_George_Hosfield.wmv"" target=""_blank"">Listen to story</a></p>
"
111,111,communication,und,Outlook 2009,1,1,1307127470,1307127470,0,1,0,0,0,2008-12-31T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Outlook%202009_Draft_FINAL.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
112,112,communication,und,The Health of Healthcare,1,1,1307127536,1307127536,0,1,0,0,0,2009-09-01T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Health_of_Healthcare_FINAL.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
113,113,communication,und,Holwerda PBA China Trip,1,1,1307127609,1307127609,0,1,0,0,0,2009-06-01T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Holwerda_PBA_China_Trip_6_1_09.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
114,114,communication,und,Frank Jungers Visit to Ferguson Wellman Capital Management,1,1,1307127690,1307127690,0,1,0,0,0,2008-07-01T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Jungers_Commentary_FINAL_7_21_08.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
115,115,communication,und,Outlook 2008,1,1,1307127765,1307127765,0,1,0,0,0,2007-12-31T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Outlook_2008.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
116,116,communication,und,The Economy: From a Banker's Perspective,1,1,1307127847,1307127847,0,1,0,0,0,2006-07-04T00:00:00,"<p>
	<a href=""[site:url]sites/default/files/documents/special/Bank_Round_Table.pdf"" target=""_blank"">Download special report</a> (pdf)</p>
"
